"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","110","Download a file attached to the submission","chromium","Sat Apr 05 11:22:39 GMT 2025","skipped","Sat Apr 05 11:22:39 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
"","98","Find a mod by its title and properties","chromium","Sat Apr 05 11:22:39 GMT 2025","skipped","Sat Apr 05 11:22:39 GMT 2025","UI > Core > Search","tests/search.spec.ts","",""
"","10308","Edit submission's title","chromium","Sat Apr 05 11:22:39 GMT 2025","passed","Sat Apr 05 11:22:49 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
"","2307","Log in with username and password","setup","Sat Apr 05 11:22:27 GMT 2025","passed","Sat Apr 05 11:22:29 GMT 2025","UI > Core > Authentication","setup/authentication.setup.ts","",""
"","110","Add a submission","chromium","Sat Apr 05 11:22:49 GMT 2025","skipped","Sat Apr 05 11:22:49 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
"","8355","Find a mod by its title","chromium","Sat Apr 05 11:22:30 GMT 2025","passed","Sat Apr 05 11:22:38 GMT 2025","UI > Core > Search","tests/search.spec.ts","",""
