"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","103","Find a mod by its title and properties","chromium","Sat Apr 05 11:15:25 GMT 2025","skipped","Sat Apr 05 11:15:25 GMT 2025","UI > Core > Search","tests/search.spec.ts","",""
"","185","Find a mod by its title","chromium","Sat Apr 05 11:15:25 GMT 2025","skipped","Sat Apr 05 11:15:25 GMT 2025","UI > Core > Search","tests/search.spec.ts","",""
"","124","Add a submission","chromium","Sat Apr 05 11:15:36 GMT 2025","skipped","Sat Apr 05 11:15:36 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
"","2307","Log in with username and password","setup","Sat Apr 05 11:15:22 GMT 2025","passed","Sat Apr 05 11:15:24 GMT 2025","UI > Core > Authentication","setup/authentication.setup.ts","",""
"","108","Download a file attached to the submission","chromium","Sat Apr 05 11:15:25 GMT 2025","skipped","Sat Apr 05 11:15:25 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
"","10578","Edit submission's title","chromium","Sat Apr 05 11:15:25 GMT 2025","passed","Sat Apr 05 11:15:36 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
