"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","UI","2","Core","0","0","Submission","0"
"0","UI","0","Core","1","0","Authentication","0"
"0","UI","0","Core","2","0","Search","0"
