"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9077","Log in with username and password","setup","Sun Mar 30 09:10:52 GMT 2025","passed","Sun Mar 30 09:11:02 GMT 2025","UI > Core > Authentication","setup/authentication.setup.ts","",""
"","7474","Find a mod by its title and properties","chromium","Sun Mar 30 09:11:54 GMT 2025","passed","Sun Mar 30 09:12:02 GMT 2025","UI > Core > Search","tests/search.spec.ts","",""
"","242","Download a file attached to the submission","chromium","Sun Mar 30 09:12:02 GMT 2025","skipped","Sun Mar 30 09:12:02 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
"","226","Edit submission's title","chromium","Sun Mar 30 09:12:02 GMT 2025","skipped","Sun Mar 30 09:12:02 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
"","9888","Find a mod by its title","chromium","Sun Mar 30 09:11:04 GMT 2025","passed","Sun Mar 30 09:11:13 GMT 2025","UI > Core > Search","tests/search.spec.ts","",""
"","228","Add a submission","chromium","Sun Mar 30 09:12:02 GMT 2025","skipped","Sun Mar 30 09:12:03 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
