"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11693","Edit submission's title","chromium","Sat Apr 05 11:39:03 GMT 2025","passed","Sat Apr 05 11:39:15 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
"","3016","Download a file attached to the submission","chromium","Sat Apr 05 11:39:00 GMT 2025","passed","Sat Apr 05 11:39:03 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
"","1","Find a mod by its title and properties","chromium","Sat Apr 05 11:39:00 GMT 2025","skipped","Sat Apr 05 11:39:00 GMT 2025","UI > Core > Search","tests/search.spec.ts","",""
"","4044","Log in with username and password","setup","Sat Apr 05 11:38:46 GMT 2025","passed","Sat Apr 05 11:38:50 GMT 2025","UI > Core > Authentication","setup/authentication.setup.ts","",""
"","12995","Add a submission","chromium","Sat Apr 05 11:39:15 GMT 2025","passed","Sat Apr 05 11:39:28 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
"","8668","Find a mod by its title","chromium","Sat Apr 05 11:38:51 GMT 2025","passed","Sat Apr 05 11:39:00 GMT 2025","UI > Core > Search","tests/search.spec.ts","",""
