"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13338","Edit submission's title","chromium","Sat Apr 05 16:29:44 GMT 2025","passed","Sat Apr 05 16:29:57 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
"","4487","Log in with username and password","setup","Sat Apr 05 16:28:23 GMT 2025","passed","Sat Apr 05 16:28:28 GMT 2025","UI > Core > Authentication","setup/authentication.setup.ts","",""
"","12675","Download a file attached to the submission","chromium","Sat Apr 05 16:28:39 GMT 2025","passed","Sat Apr 05 16:28:52 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
"","99","Find a mod by its title and properties","chromium","Sat Apr 05 16:28:39 GMT 2025","skipped","Sat Apr 05 16:28:39 GMT 2025","UI > Core > Search","tests/search.spec.ts","",""
"","9921","Find a mod by its title","chromium","Sat Apr 05 16:28:29 GMT 2025","passed","Sat Apr 05 16:28:39 GMT 2025","UI > Core > Search","tests/search.spec.ts","",""
"","17831","Add a submission","chromium","Sat Apr 05 16:30:25 GMT 2025","passed","Sat Apr 05 16:30:43 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
