"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14746","Add a submission","chromium","Sat Apr 05 11:28:14 GMT 2025","passed","Sat Apr 05 11:28:29 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
"","1211","Download a file attached to the submission","chromium","Sat Apr 05 11:28:02 GMT 2025","passed","Sat Apr 05 11:28:03 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
"","2603","Log in with username and password","setup","Sat Apr 05 11:26:47 GMT 2025","passed","Sat Apr 05 11:26:50 GMT 2025","UI > Core > Authentication","setup/authentication.setup.ts","",""
"","10450","Edit submission's title","chromium","Sat Apr 05 11:28:03 GMT 2025","passed","Sat Apr 05 11:28:14 GMT 2025","UI > Core > Submission","tests/submission.spec.ts","",""
"","20706","Find a mod by its title and properties","chromium","Sat Apr 05 11:27:41 GMT 2025","failed","Sat Apr 05 11:28:01 GMT 2025","UI > Core > Search","tests/search.spec.ts","",""
"","6937","Find a mod by its title","chromium","Sat Apr 05 11:26:51 GMT 2025","passed","Sat Apr 05 11:26:58 GMT 2025","UI > Core > Search","tests/search.spec.ts","",""
